Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-06,101.72,103.71,101.44,103.26,525897.0,0.0,1.0,101.72,103.71,101.44,103.26,525897.0
2017-04-05,100.36,103.3185,100.01,101.78,649900.0,0.0,1.0,100.36,103.3185,100.01,101.78,649900.0
2017-04-04,101.21,101.8095,99.59,100.06,690307.0,0.0,1.0,101.21,101.8095,99.59,100.06,690307.0
2017-04-03,104.01,104.01,101.22,101.61,448154.0,0.0,1.0,104.01,104.01,101.22,101.61,448154.0
2017-03-31,102.96,103.93,102.15,103.5,366972.0,0.0,1.0,102.96,103.93,102.15,103.5,366972.0
2017-03-30,103.03,103.7,102.52,102.81,189834.0,0.0,1.0,103.03,103.7,102.52,102.81,189834.0
2017-03-29,102.2,103.59,101.48,103.12,317957.0,0.0,1.0,102.2,103.59,101.48,103.12,317957.0
2017-03-28,102.02,103.87,101.41,102.41,204029.0,0.0,1.0,102.02,103.87,101.41,102.41,204029.0
2017-03-27,100.36,102.41,99.79,102.03,235730.0,0.0,1.0,100.36,102.41,99.79,102.03,235730.0
2017-03-24,102.54,103.27,101.56,102.08,351659.0,0.0,1.0,102.54,103.27,101.56,102.08,351659.0
2017-03-23,103.4,103.85,102.34,102.66,270478.0,0.0,1.0,103.4,103.85,102.34,102.66,270478.0
2017-03-22,102.42,103.915,102.26,103.79,329394.0,0.0,1.0,102.42,103.915,102.26,103.79,329394.0
2017-03-21,105.12,105.33,101.73,102.22,641015.0,0.0,1.0,105.12,105.33,101.73,102.22,641015.0
2017-03-20,106.81,107.28,104.79,104.95,305097.0,0.0,1.0,106.81,107.28,104.79,104.95,305097.0
2017-03-17,107.47,107.83,106.65,106.81,315010.0,0.0,1.0,107.47,107.83,106.65,106.81,315010.0
2017-03-16,107.15,108.73,107.0,107.44,280598.0,0.0,1.0,107.15,108.73,107.0,107.44,280598.0
2017-03-15,105.45,106.94,104.18,106.5,531221.0,0.0,1.0,105.45,106.94,104.18,106.5,531221.0
2017-03-14,106.1,106.27,104.71,105.2,415093.0,0.0,1.0,106.1,106.27,104.71,105.2,415093.0
2017-03-13,105.89,107.76,105.72,106.46,349699.0,0.0,1.0,105.89,107.76,105.72,106.46,349699.0
2017-03-10,106.82,107.73,105.95,106.1,519426.0,0.0,1.0,106.82,107.73,105.95,106.1,519426.0
2017-03-09,106.31,106.5792,104.78,105.8,614594.0,0.0,1.0,106.31,106.5792,104.78,105.8,614594.0
2017-03-08,107.97,108.65,106.35,106.74,387760.0,0.0,1.0,107.97,108.65,106.35,106.74,387760.0
2017-03-07,108.19,108.905,107.09,107.74,486380.0,0.0,1.0,108.19,108.905,107.09,107.74,486380.0
2017-03-06,108.69,109.39,107.06,108.3,381215.0,0.0,1.0,108.69,109.39,107.06,108.3,381215.0
2017-03-03,108.82,109.83,108.47,109.08,302870.0,0.0,1.0,108.82,109.83,108.47,109.08,302870.0
2017-03-02,109.61,110.18,107.99,108.89,666336.0,0.0,1.0,109.61,110.18,107.99,108.89,666336.0
2017-03-01,112.88,113.27,110.64,111.03,560181.0,0.0,1.0,112.88,113.27,110.64,111.03,560181.0
2017-02-28,114.04,114.11,111.22,111.23,335916.0,0.0,1.0,114.04,114.11,111.22,111.23,335916.0
2017-02-27,113.06,115.07,112.09,114.76,405798.0,0.0,1.0,113.06,115.07,112.09,114.76,405798.0
2017-02-24,111.54,112.9,110.59,112.85,210298.0,0.0,1.0,111.54,112.9,110.59,112.85,210298.0
2017-02-23,113.1,113.1,110.655,112.08,213508.0,0.0,1.0,113.1,113.1,110.655,112.08,213508.0
2017-02-22,111.45,112.67,111.26,112.32,277776.0,0.0,1.0,111.45,112.67,111.26,112.32,277776.0
2017-02-21,111.31,112.2,111.07,112.06,283873.0,0.0,1.0,111.31,112.2,111.07,112.06,283873.0
2017-02-17,110.0,111.0,109.77,111.0,277405.0,0.0,1.0,110.0,111.0,109.77,111.0,277405.0
2017-02-16,111.55,112.32,108.81,110.66,475708.0,0.0,1.0,111.55,112.32,108.81,110.66,475708.0
2017-02-15,109.94,112.86,109.2,111.73,529261.0,0.0,1.0,109.94,112.86,109.2,111.73,529261.0
2017-02-14,112.59,113.19,110.13,111.37,991044.0,0.0,1.0,112.59,113.19,110.13,111.37,991044.0
2017-02-13,121.0,122.91,113.16,113.52,933019.0,0.0,1.0,121.0,122.91,113.16,113.52,933019.0
2017-02-10,118.89,119.8467,117.57,119.28,525070.0,0.0,1.0,118.89,119.8467,117.57,119.28,525070.0
2017-02-09,115.85,119.36,115.85,118.57,417869.0,0.0,1.0,115.85,119.36,115.85,118.57,417869.0
2017-02-08,115.49,115.98,113.91,115.06,204537.0,0.0,1.0,115.49,115.98,113.91,115.06,204537.0
2017-02-07,114.16,115.7,114.07,115.62,286794.0,0.0,1.0,114.16,115.7,114.07,115.62,286794.0
2017-02-06,115.05,115.39,113.7,114.54,268677.0,0.0,1.0,115.05,115.39,113.7,114.54,268677.0
2017-02-03,113.99,116.04,113.86,115.16,356160.0,0.0,1.0,113.99,116.04,113.86,115.16,356160.0
2017-02-02,113.14,114.37,112.4905,113.4,277047.0,0.0,1.0,113.14,114.37,112.4905,113.4,277047.0
2017-02-01,115.17,115.57,112.73,113.49,309799.0,0.0,1.0,115.17,115.57,112.73,113.49,309799.0
2017-01-31,114.32,115.27,113.41,114.33,304057.0,0.0,1.0,114.32,115.27,113.41,114.33,304057.0
2017-01-30,114.56,115.02,113.26,114.3,264243.0,0.0,1.0,114.56,115.02,113.26,114.3,264243.0
2017-01-27,115.81,116.17,115.03,115.57,107412.0,0.0,1.0,115.81,116.17,115.03,115.57,107412.0
2017-01-26,117.41,118.22,114.71,115.66,201889.0,0.0,1.0,117.41,118.22,114.71,115.66,201889.0
2017-01-25,118.07,119.02,116.66,117.4,158168.0,0.0,1.0,118.07,119.02,116.66,117.4,158168.0
2017-01-24,117.08,117.58,116.58,117.32,214960.0,0.0,1.0,117.08,117.58,116.58,117.32,214960.0
2017-01-23,116.54,117.26,115.05,116.74,326812.0,0.0,1.0,116.54,117.26,115.05,116.74,326812.0
2017-01-20,116.24,117.0,115.82,116.69,325232.0,0.0,1.0,116.24,117.0,115.82,116.69,325232.0
2017-01-19,116.99,117.16,115.595,116.46,311755.0,0.0,1.0,116.99,117.16,115.595,116.46,311755.0
2017-01-18,115.59,117.07,114.79,116.83,324585.0,0.0,1.0,115.59,117.07,114.79,116.83,324585.0
2017-01-17,115.06,115.8395,114.03,115.52,282619.0,0.0,1.0,115.06,115.8395,114.03,115.52,282619.0
2017-01-13,114.86,115.84,114.24,115.32,313945.0,0.0,1.0,114.86,115.84,114.24,115.32,313945.0
2017-01-12,113.63,114.59,111.975,114.47,273359.0,0.0,1.0,113.63,114.59,111.975,114.47,273359.0
2017-01-11,113.85,114.34,112.38,114.22,251841.0,0.0,1.0,113.85,114.34,112.38,114.22,251841.0
2017-01-10,112.51,114.08,112.01,112.43,239267.0,0.0,1.0,112.51,114.08,112.01,112.43,239267.0
2017-01-09,113.6,114.91,112.36,112.73,220070.0,0.0,1.0,113.6,114.91,112.36,112.73,220070.0
2017-01-06,114.0,114.09,112.8,113.4,195183.0,0.0,1.0,114.0,114.09,112.8,113.4,195183.0
2017-01-05,113.16,113.86,112.01,113.63,303189.0,0.0,1.0,113.16,113.86,112.01,113.63,303189.0
2017-01-04,112.86,114.49,111.94,113.16,226098.0,0.0,1.0,112.86,114.49,111.94,113.16,226098.0
2017-01-03,113.17,114.06,110.88,112.24,257800.0,0.0,1.0,113.17,114.06,110.88,112.24,257800.0
