Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-06,36.6,37.45,36.3,37.15,441437.0,0.0,1.0,36.6,37.45,36.3,37.15,441437.0
2017-04-05,37.05,37.5,36.45,36.5,448863.0,0.0,1.0,37.05,37.5,36.45,36.5,448863.0
2017-04-04,37.25,37.4,36.85,37.0,526502.0,0.0,1.0,37.25,37.4,36.85,37.0,526502.0
2017-04-03,37.85,37.95,37.05,37.2,901052.0,0.0,1.0,37.85,37.95,37.05,37.2,901052.0
2017-03-31,36.75,37.1,36.35,36.8,901434.0,0.0,1.0,36.75,37.1,36.35,36.8,901434.0
2017-03-30,36.65,36.85,36.3,36.65,600171.0,0.0,1.0,36.65,36.85,36.3,36.65,600171.0
2017-03-29,36.6,36.9,36.35,36.6,566774.0,0.0,1.0,36.6,36.9,36.35,36.6,566774.0
2017-03-28,36.05,36.85,36.0,36.6,576973.0,0.0,1.0,36.05,36.85,36.0,36.6,576973.0
2017-03-27,35.9,36.35,35.75,36.15,358166.0,0.0,1.0,35.9,36.35,35.75,36.15,358166.0
2017-03-24,36.7,36.95,36.2,36.35,339218.0,0.0,1.0,36.7,36.95,36.2,36.35,339218.0
2017-03-23,36.85,37.1,36.4,36.55,437900.0,0.0,1.0,36.85,37.1,36.4,36.55,437900.0
2017-03-22,37.3,37.3,35.95,36.85,403273.0,0.0,1.0,37.3,37.3,35.95,36.85,403273.0
2017-03-21,38.35,38.5,37.25,37.4,429388.0,0.0,1.0,38.35,38.5,37.25,37.4,429388.0
2017-03-20,38.25,38.25,37.65,38.15,307654.0,0.0,1.0,38.25,38.25,37.65,38.15,307654.0
2017-03-17,39.1,39.1,37.9,38.25,578235.0,0.0,1.0,39.1,39.1,37.9,38.25,578235.0
2017-03-16,37.1,39.25,37.1,38.75,681045.0,0.0,1.0,37.1,39.25,37.1,38.75,681045.0
2017-03-15,36.75,37.3,36.05,37.0,588675.0,0.0,1.0,36.75,37.3,36.05,37.0,588675.0
2017-03-14,36.75,36.9,36.3,36.5,352746.0,0.0,1.0,36.75,36.9,36.3,36.5,352746.0
2017-03-13,37.0,37.15,36.425,36.95,296713.0,0.0,1.0,37.0,37.15,36.425,36.95,296713.0
2017-03-10,36.8,37.7,36.625,37.05,274037.0,0.0,1.0,36.8,37.7,36.625,37.05,274037.0
2017-03-09,36.75,37.25,36.2,36.6,256168.0,0.0,1.0,36.75,37.25,36.2,36.6,256168.0
2017-03-08,36.65,36.95,36.25,36.75,248942.0,0.0,1.0,36.65,36.95,36.25,36.75,248942.0
2017-03-07,36.45,36.9,36.35,36.5,399930.0,0.0,1.0,36.45,36.9,36.35,36.5,399930.0
2017-03-06,36.05,36.575,35.85,36.35,229785.0,0.0,1.0,36.05,36.575,35.85,36.35,229785.0
2017-03-03,36.35,36.45,35.95,36.3,197933.0,0.0,1.0,36.35,36.45,35.95,36.3,197933.0
2017-03-02,36.6,36.85,36.15,36.4,246731.0,0.0,1.0,36.6,36.85,36.15,36.4,246731.0
2017-03-01,36.3,37.1,35.85,36.65,342946.0,0.0,1.0,36.3,37.1,35.85,36.65,342946.0
2017-02-28,35.45,35.8,34.9,35.55,476867.0,0.0,1.0,35.45,35.8,34.9,35.55,476867.0
2017-02-27,34.5,35.85,34.15,35.8,427183.0,0.0,1.0,34.5,35.85,34.15,35.8,427183.0
2017-02-24,34.15,34.7,33.8,34.55,205149.0,0.0,1.0,34.15,34.7,33.8,34.55,205149.0
2017-02-23,34.7,34.75,34.1,34.35,202801.0,0.0,1.0,34.7,34.75,34.1,34.35,202801.0
2017-02-22,34.6,34.85,34.25,34.6,179462.0,0.0,1.0,34.6,34.85,34.25,34.6,179462.0
2017-02-21,34.15,34.6,33.9,34.25,377981.0,0.0,1.0,34.15,34.6,33.9,34.25,377981.0
2017-02-17,33.7,34.15,33.5,34.15,307546.0,0.0,1.0,33.7,34.15,33.5,34.15,307546.0
2017-02-16,34.35,34.6,33.85,34.1,317655.0,0.0,1.0,34.35,34.6,33.85,34.1,317655.0
2017-02-15,33.9,34.9,33.85,34.35,397529.0,0.0,1.0,33.9,34.9,33.85,34.35,397529.0
2017-02-14,33.95,34.2,33.825,34.1,306768.0,0.0,1.0,33.95,34.2,33.825,34.1,306768.0
2017-02-13,34.85,35.0,34.275,34.4,181734.0,0.0,1.0,34.85,35.0,34.275,34.4,181734.0
2017-02-10,33.95,34.8,33.95,34.75,412604.0,0.0,1.0,33.95,34.8,33.95,34.75,412604.0
2017-02-09,33.95,34.0,33.4,33.75,423068.0,0.0,1.0,33.95,34.0,33.4,33.75,423068.0
2017-02-08,33.7,34.2,33.5,34.05,390336.0,0.0,1.0,33.7,34.2,33.5,34.05,390336.0
2017-02-07,34.5,34.5,33.7,33.85,363076.0,0.0,1.0,34.5,34.5,33.7,33.85,363076.0
2017-02-06,34.75,35.3,34.35,34.45,495675.0,0.0,1.0,34.75,35.3,34.35,34.45,495675.0
2017-02-03,34.65,35.1,34.5,35.05,393055.0,0.0,1.0,34.65,35.1,34.5,35.05,393055.0
2017-02-02,34.6,35.25,34.35,34.4,420216.0,0.0,1.0,34.6,35.25,34.35,34.4,420216.0
2017-02-01,36.2,36.2,34.3,34.75,643269.0,0.0,1.0,36.2,36.2,34.3,34.75,643269.0
2017-01-31,36.8,37.0,35.7,36.75,488588.0,0.0,1.0,36.8,37.0,35.7,36.75,488588.0
2017-01-30,36.05,36.85,35.25,36.85,484297.0,0.0,1.0,36.05,36.85,35.25,36.85,484297.0
2017-01-27,37.5,37.5,36.45,36.9,194444.0,0.0,1.0,37.5,37.5,36.45,36.9,194444.0
2017-01-26,37.3,37.85,37.25,37.55,153849.0,0.0,1.0,37.3,37.85,37.25,37.55,153849.0
2017-01-25,36.8,37.795,36.8,37.3,203157.0,0.0,1.0,36.8,37.795,36.8,37.3,203157.0
2017-01-24,35.2,36.9,34.95,36.75,516954.0,0.0,1.0,35.2,36.9,34.95,36.75,516954.0
2017-01-23,34.55,35.095,34.3,34.8,181642.0,0.0,1.0,34.55,35.095,34.3,34.8,181642.0
2017-01-20,34.6,35.1,34.45,34.75,119071.0,0.0,1.0,34.6,35.1,34.45,34.75,119071.0
2017-01-19,35.25,35.65,34.45,34.55,136191.0,0.0,1.0,35.25,35.65,34.45,34.55,136191.0
2017-01-18,35.35,35.6,34.85,35.3,129067.0,0.0,1.0,35.35,35.6,34.85,35.3,129067.0
2017-01-17,35.1,35.75,34.855,35.3,128944.0,0.0,1.0,35.1,35.75,34.855,35.3,128944.0
2017-01-13,35.6,36.0,35.05,35.35,103101.0,0.0,1.0,35.6,36.0,35.05,35.35,103101.0
2017-01-12,35.7,35.7,34.4,35.45,170391.0,0.0,1.0,35.7,35.7,34.4,35.45,170391.0
2017-01-11,35.3,35.975,34.75,35.95,214454.0,0.0,1.0,35.3,35.975,34.75,35.95,214454.0
2017-01-10,34.55,35.4,34.55,35.2,218309.0,0.0,1.0,34.55,35.4,34.55,35.2,218309.0
2017-01-09,34.5,34.8,34.1,34.35,213243.0,0.0,1.0,34.5,34.8,34.1,34.35,213243.0
2017-01-06,35.85,36.45,34.6,34.7,216293.0,0.0,1.0,35.85,36.45,34.6,34.7,216293.0
2017-01-05,36.25,36.4,35.75,36.25,163659.0,0.0,1.0,36.25,36.4,35.75,36.25,163659.0
2017-01-04,35.55,36.7,35.5,36.4,228161.0,0.0,1.0,35.55,36.7,35.5,36.4,228161.0
2017-01-03,35.35,35.75,34.85,35.45,215721.0,0.0,1.0,35.35,35.75,34.85,35.45,215721.0
